try_number,demand_scenario,preemption_strategy,hold_duration,priority_enabled,priority_distance,vehicle_id,start_time,end_time,travel_time
1,normal,none,0,False,0.0,0,1.0,16.0,15.0
1,normal,none,0,False,0.0,13,25.0,46.0,21.0
1,normal,none,0,False,0.0,8,16.0,57.0,41.0
1,normal,none,0,False,0.0,4,9.0,58.0,49.0
1,normal,none,0,False,0.0,19,36.0,72.0,36.0
1,normal,none,0,False,0.0,31,57.0,89.0,32.0
1,normal,none,0,False,0.0,36,66.0,90.0,24.0
1,normal,none,0,False,0.0,40,73.0,90.0,17.0
1,normal,none,0,False,0.0,30,55.0,93.0,38.0
1,normal,none,0,False,0.0,53,97.0,105.0,8.0
1,normal,none,0,False,0.0,3,7.0,106.0,99.0
1,normal,none,0,False,0.0,26,48.0,108.0,60.0
1,normal,none,0,False,0.0,10,19.0,113.0,94.0
1,normal,none,0,False,0.0,34,63.0,123.0,60.0
1,normal,none,0,False,0.0,49,90.0,123.0,33.0
1,normal,none,0,False,0.0,59,108.0,123.0,15.0
1,normal,none,0,False,0.0,62,116.0,125.0,9.0
1,normal,none,0,False,0.0,1,3.0,126.0,123.0
1,normal,none,0,False,0.0,21,39.0,126.0,87.0
1,normal,none,0,False,0.0,44,81.0,127.0,46.0
1,normal,none,0,False,0.0,18,34.0,129.0,95.0
1,normal,none,0,False,0.0,72,131.0,134.0,3.0
1,normal,none,0,False,0.0,56,102.0,137.0,35.0
1,normal,none,0,False,0.0,22,41.0,138.0,97.0
1,normal,none,0,False,0.0,48,88.0,140.0,52.0
1,normal,none,0,False,0.0,32,60.0,142.0,82.0
1,normal,none,0,False,0.0,63,115.0,145.0,30.0
1,normal,none,0,False,0.0,51,93.0,147.0,54.0
1,normal,none,0,False,0.0,27,52.0,149.0,97.0
1,normal,none,0,False,0.0,46,84.0,153.0,69.0
1,normal,none,0,False,0.0,15,28.0,154.0,126.0
1,normal,none,0,False,0.0,38,70.0,156.0,86.0
1,normal,none,0,False,0.0,58,106.0,156.0,50.0
1,normal,none,0,False,0.0,17,32.0,157.0,125.0
1,normal,none,0,False,0.0,45,82.0,164.0,82.0
1,normal,none,0,False,0.0,57,104.0,164.0,60.0
1,normal,none,0,False,0.0,42,77.0,166.0,89.0
1,normal,none,0,False,0.0,24,45.0,167.0,122.0
