,,,travel_time,travel_time,travel_time,stopped_time,stopped_time,stopped_time
,,,count,mean,std,count,mean,std
try_number,priority_distance_m,mode,,,,,,
1,50.0,Priority OFF,10,59.8,44.364,10,15.5,21.004
1,50.0,Priority ON,10,48.3,37.095,10,0.9,2.183
1,100.0,Priority OFF,10,59.8,44.364,10,15.5,21.004
1,100.0,Priority ON,10,39.9,40.204,10,0.1,0.316
1,150.0,Priority OFF,10,59.8,44.364,10,15.5,21.004
1,150.0,Priority ON,10,55.0,47.298,10,2.9,5.343
1,200.0,Priority OFF,10,59.8,44.364,10,15.5,21.004
1,200.0,Priority ON,10,39.7,40.664,10,2.5,4.197
2,50.0,Priority OFF,10,46.2,35.894,10,10.5,21.895
2,50.0,Priority ON,10,53.3,30.707,10,4.3,9.989
2,100.0,Priority OFF,10,46.2,35.894,10,10.5,21.895
2,100.0,Priority ON,10,55.1,26.959,10,0.6,1.578
2,150.0,Priority OFF,10,46.2,35.894,10,10.5,21.895
2,150.0,Priority ON,10,63.1,40.096,10,1.9,4.433
2,200.0,Priority OFF,10,46.2,35.894,10,10.5,21.895
2,200.0,Priority ON,10,65.7,40.083,10,1.8,3.458
3,50.0,Priority OFF,10,62.6,57.403,10,17.1,27.02
3,50.0,Priority ON,10,62.5,46.827,10,0.9,1.663
3,100.0,Priority OFF,10,62.6,57.403,10,17.1,27.02
3,100.0,Priority ON,10,75.2,51.458,10,1.4,3.438
3,150.0,Priority OFF,10,62.6,57.403,10,17.1,27.02
3,150.0,Priority ON,10,75.0,48.139,10,2.8,5.095
3,200.0,Priority OFF,10,62.6,57.403,10,17.1,27.02
3,200.0,Priority ON,10,56.0,39.953,10,2.3,3.561
4,50.0,Priority OFF,10,71.9,54.645,10,20.8,23.794
4,50.0,Priority ON,10,45.5,37.373,10,1.9,3.872
4,100.0,Priority OFF,10,71.9,54.645,10,20.8,23.794
4,100.0,Priority ON,10,50.8,44.813,10,0.9,1.595
4,150.0,Priority OFF,10,71.9,54.645,10,20.8,23.794
4,150.0,Priority ON,10,67.2,51.227,10,3.2,5.653
4,200.0,Priority OFF,10,71.9,54.645,10,20.8,23.794
4,200.0,Priority ON,10,50.7,42.151,10,0.1,0.316
5,50.0,Priority OFF,10,48.4,35.635,10,11.5,18.561
5,50.0,Priority ON,10,59.2,49.83,10,3.3,9.081
5,100.0,Priority OFF,10,48.4,35.635,10,11.5,18.561
5,100.0,Priority ON,10,66.2,44.479,10,1.4,2.757
5,150.0,Priority OFF,10,48.4,35.635,10,11.5,18.561
5,150.0,Priority ON,10,70.2,46.348,10,2.7,5.122
5,200.0,Priority OFF,10,48.4,35.635,10,11.5,18.561
5,200.0,Priority ON,10,65.9,44.195,10,1.8,3.393
6,50.0,Priority OFF,10,69.8,63.421,10,20.3,25.025
6,50.0,Priority ON,10,51.3,40.236,10,3.6,8.847
6,100.0,Priority OFF,10,69.8,63.421,10,20.3,25.025
6,100.0,Priority ON,10,58.0,43.156,10,4.5,9.801
6,150.0,Priority OFF,10,69.8,63.421,10,20.3,25.025
6,150.0,Priority ON,10,46.5,30.754,10,4.9,5.915
6,200.0,Priority OFF,10,69.8,63.421,10,20.3,25.025
6,200.0,Priority ON,10,45.0,38.433,10,1.3,2.214
7,50.0,Priority OFF,10,55.1,49.246,10,5.6,9.991
7,50.0,Priority ON,10,46.9,45.437,10,0.6,1.265
7,100.0,Priority OFF,10,55.1,49.246,10,5.6,9.991
7,100.0,Priority ON,10,43.3,30.258,10,0.9,1.663
7,150.0,Priority OFF,10,55.1,49.246,10,5.6,9.991
7,150.0,Priority ON,10,56.6,38.112,10,1.8,2.348
7,200.0,Priority OFF,10,55.1,49.246,10,5.6,9.991
7,200.0,Priority ON,10,59.8,41.266,10,3.4,4.452
8,50.0,Priority OFF,10,79.2,70.999,10,24.4,28.124
8,50.0,Priority ON,10,57.1,47.65,10,0.3,0.483
8,100.0,Priority OFF,10,79.2,70.999,10,24.4,28.124
8,100.0,Priority ON,10,67.8,52.9,10,2.0,3.266
8,150.0,Priority OFF,10,79.2,70.999,10,24.4,28.124
8,150.0,Priority ON,10,50.6,34.306,10,0.2,0.422
8,200.0,Priority OFF,10,79.2,70.999,10,24.4,28.124
8,200.0,Priority ON,10,53.4,31.813,10,0.5,0.85
9,50.0,Priority OFF,10,64.7,57.019,10,16.9,23.187
9,50.0,Priority ON,10,27.9,12.387,10,0.3,0.675
9,100.0,Priority OFF,10,64.7,57.019,10,16.9,23.187
9,100.0,Priority ON,10,63.2,47.786,10,1.0,1.563
9,150.0,Priority OFF,10,64.7,57.019,10,16.9,23.187
9,150.0,Priority ON,10,28.6,25.851,10,0.3,0.675
9,200.0,Priority OFF,10,64.7,57.019,10,16.9,23.187
9,200.0,Priority ON,10,47.8,34.444,10,3.0,5.696
10,50.0,Priority OFF,10,40.8,34.234,10,13.7,22.066
10,50.0,Priority ON,10,46.3,37.918,10,2.2,4.237
10,100.0,Priority OFF,10,40.8,34.234,10,13.7,22.066
10,100.0,Priority ON,10,47.4,37.11,10,1.6,3.406
