try_number,id,travel_time_on,stopped_time_on,travel_time_off,stopped_time_off,priority_distance_m,travel_time_delta
1,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
1,emergency_1,40.0,0.0,90.0,49.0,50.0,50.0
1,emergency_2,46.0,0.0,108.0,0.0,50.0,62.0
1,emergency_4,19.0,0.0,42.0,0.0,50.0,23.0
1,emergency_5,14.0,0.0,9.0,0.0,50.0,-5.0
1,emergency_3,45.0,0.0,96.0,49.0,50.0,51.0
1,emergency_6,117.0,1.0,116.0,27.0,50.0,-1.0
1,emergency_8,26.0,7.0,21.0,1.0,50.0,-5.0
1,emergency_7,55.0,1.0,92.0,29.0,50.0,37.0
1,emergency_9,109.0,0.0,12.0,0.0,50.0,-97.0
2,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
2,emergency_1,44.0,0.0,96.0,50.0,50.0,52.0
2,emergency_2,47.0,0.0,56.0,0.0,50.0,9.0
2,emergency_4,37.0,0.0,37.0,0.0,50.0,0.0
2,emergency_3,93.0,31.0,47.0,0.0,50.0,-46.0
2,emergency_5,97.0,11.0,18.0,0.0,50.0,-79.0
2,emergency_6,27.0,0.0,76.0,0.0,50.0,49.0
2,emergency_7,49.0,0.0,103.0,54.0,50.0,54.0
2,emergency_8,32.0,1.0,6.0,1.0,50.0,-26.0
2,emergency_9,95.0,0.0,11.0,0.0,50.0,-84.0
3,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
3,emergency_1,45.0,0.0,24.0,0.0,50.0,-21.0
3,emergency_3,59.0,4.0,61.0,10.0,50.0,2.0
3,emergency_2,129.0,0.0,52.0,5.0,50.0,-77.0
3,emergency_4,46.0,0.0,13.0,0.0,50.0,-33.0
3,emergency_7,41.0,0.0,125.0,74.0,50.0,84.0
3,emergency_5,130.0,0.0,12.0,0.0,50.0,-118.0
3,emergency_6,122.0,4.0,146.0,58.0,50.0,24.0
3,emergency_8,27.0,1.0,27.0,1.0,50.0,0.0
3,emergency_9,14.0,0.0,154.0,23.0,50.0,140.0
4,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
4,emergency_1,24.0,0.0,24.0,0.0,50.0,0.0
4,emergency_2,57.0,0.0,151.0,13.0,50.0,94.0
4,emergency_3,41.0,0.0,107.0,49.0,50.0,66.0
4,emergency_4,50.0,7.0,62.0,23.0,50.0,12.0
4,emergency_6,9.0,0.0,132.0,63.0,50.0,123.0
4,emergency_5,124.0,11.0,16.0,0.0,50.0,-108.0
4,emergency_7,24.0,0.0,61.0,12.0,50.0,37.0
4,emergency_8,21.0,1.0,20.0,1.0,50.0,-1.0
4,emergency_9,93.0,0.0,134.0,47.0,50.0,41.0
5,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
5,emergency_1,42.0,0.0,88.0,48.0,50.0,46.0
5,emergency_2,56.0,0.0,56.0,0.0,50.0,0.0
5,emergency_3,45.0,0.0,58.0,10.0,50.0,13.0
5,emergency_4,41.0,0.0,84.0,43.0,50.0,43.0
5,emergency_5,25.0,0.0,10.0,0.0,50.0,-15.0
5,emergency_8,21.0,1.0,6.0,1.0,50.0,-15.0
5,emergency_7,57.0,3.0,61.0,13.0,50.0,4.0
5,emergency_6,173.0,29.0,97.0,0.0,50.0,-76.0
5,emergency_9,120.0,0.0,12.0,0.0,50.0,-108.0
6,emergency_0,12.0,0.0,19.0,3.0,50.0,7.0
6,emergency_1,43.0,0.0,101.0,55.0,50.0,58.0
6,emergency_2,47.0,0.0,46.0,0.0,50.0,-1.0
6,emergency_3,98.0,28.0,101.0,39.0,50.0,3.0
6,emergency_4,15.0,0.0,14.0,0.0,50.0,-1.0
6,emergency_5,10.0,0.0,5.0,0.0,50.0,-5.0
6,emergency_6,109.0,0.0,141.0,44.0,50.0,32.0
6,emergency_7,45.0,0.0,51.0,4.0,50.0,6.0
6,emergency_8,23.0,1.0,23.0,1.0,50.0,0.0
6,emergency_9,111.0,7.0,197.0,57.0,50.0,86.0
7,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
7,emergency_1,45.0,1.0,25.0,0.0,50.0,-20.0
7,emergency_4,15.0,0.0,37.0,0.0,50.0,22.0
7,emergency_3,52.0,4.0,59.0,9.0,50.0,7.0
7,emergency_2,153.0,0.0,50.0,0.0,50.0,-103.0
7,emergency_5,16.0,0.0,16.0,0.0,50.0,0.0
7,emergency_6,95.0,0.0,139.0,29.0,50.0,44.0
7,emergency_8,23.0,1.0,21.0,1.0,50.0,-2.0
7,emergency_9,12.0,0.0,149.0,17.0,50.0,137.0
7,emergency_7,46.0,0.0,43.0,0.0,50.0,-3.0
8,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
8,emergency_1,26.0,0.0,34.0,0.0,50.0,8.0
8,emergency_3,51.0,1.0,112.0,52.0,50.0,61.0
8,emergency_4,37.0,0.0,37.0,0.0,50.0,0.0
8,emergency_2,130.0,0.0,204.0,49.0,50.0,74.0
8,emergency_5,5.0,0.0,42.0,31.0,50.0,37.0
8,emergency_6,105.0,0.0,110.0,27.0,50.0,5.0
8,emergency_7,39.0,0.0,25.0,0.0,50.0,-14.0
8,emergency_8,33.0,1.0,26.0,6.0,50.0,-7.0
8,emergency_9,133.0,1.0,190.0,79.0,50.0,57.0
9,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
9,emergency_1,26.0,2.0,29.0,2.0,50.0,3.0
9,emergency_2,54.0,0.0,56.0,0.0,50.0,2.0
9,emergency_3,42.0,0.0,42.0,0.0,50.0,0.0
9,emergency_4,25.0,0.0,71.0,33.0,50.0,46.0
9,emergency_5,21.0,0.0,11.0,0.0,50.0,-10.0
9,emergency_6,22.0,0.0,190.0,66.0,50.0,168.0
9,emergency_7,35.0,0.0,87.0,33.0,50.0,52.0
9,emergency_8,23.0,1.0,23.0,1.0,50.0,0.0
9,emergency_9,19.0,0.0,126.0,34.0,50.0,107.0
10,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
10,emergency_1,47.0,1.0,46.0,1.0,50.0,-1.0
10,emergency_2,52.0,0.0,45.0,0.0,50.0,-7.0
10,emergency_3,53.0,0.0,7.0,0.0,50.0,-46.0
10,emergency_4,53.0,12.0,84.0,46.0,50.0,31.0
10,emergency_5,8.0,0.0,11.0,0.0,50.0,3.0
10,emergency_6,21.0,0.0,67.0,35.0,50.0,46.0
10,emergency_7,48.0,0.0,103.0,54.0,50.0,55.0
10,emergency_8,27.0,1.0,21.0,1.0,50.0,-6.0
10,emergency_9,142.0,8.0,12.0,0.0,50.0,-130.0
11,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
11,emergency_1,43.0,0.0,97.0,52.0,50.0,54.0
11,emergency_2,59.0,0.0,62.0,1.0,50.0,3.0
11,emergency_3,20.0,0.0,4.0,0.0,50.0,-16.0
11,emergency_4,15.0,0.0,37.0,0.0,50.0,22.0
11,emergency_5,10.0,0.0,1.0,0.0,50.0,-9.0
11,emergency_6,20.0,0.0,186.0,66.0,50.0,166.0
11,emergency_7,1.0,0.0,162.0,104.0,50.0,161.0
11,emergency_8,25.0,1.0,20.0,1.0,50.0,-5.0
11,emergency_9,55.0,0.0,219.0,99.0,50.0,164.0
12,emergency_0,12.0,0.0,14.0,0.0,50.0,2.0
12,emergency_1,41.0,0.0,32.0,0.0,50.0,-9.0
12,emergency_2,51.0,0.0,41.0,0.0,50.0,-10.0
12,emergency_3,40.0,0.0,6.0,0.0,50.0,-34.0
12,emergency_4,37.0,0.0,84.0,46.0,50.0,47.0
12,emergency_5,114.0,9.0,2.0,0.0,50.0,-112.0
12,emergency_6,129.0,0.0,159.0,71.0,50.0,30.0
12,emergency_8,28.0,3.0,23.0,1.0,50.0,-5.0
12,emergency_7,56.0,2.0,124.0,74.0,50.0,68.0
12,emergency_9,90.0,0.0,203.0,67.0,50.0,113.0
13,emergency_0,12.0,0.0,12.0,0.0,50.0,0.0
13,emergency_1,50.0,0.0,50.0,0.0,50.0,0.0
13,emergency_2,47.0,0.0,45.0,0.0,50.0,-2.0
